name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
NGTS-27 b,Confirmed,0.593,0.07,0.095,,,,1.396,0.04,0.04,3.3704181,6e-06,6e-06,0.0446,0.0036,0.0026,0.0,,,86.2,2.1,2.4,,2024,2024-04-24,,,,,,,,,,1458540.6573,0.001,0.001,,,,,,,,,,,,,76.5,8.7,12.0,1783.0,100.0,100.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,NGTS-27,206.02625,-32.52297222222222,13.5,,,,,977.0,17.0,17.0,0.0,0.08,0.08,1.07,0.06,0.06,1.77,0.03,0.03,,7.9,0.8,0.8,5700.0,80.0,80.0,,,
NGTS-29 b,Confirmed,0.39,0.03,0.03,,,,0.857,0.012,0.012,69.33684,1e-05,1e-05,0.347,0.029,0.029,0.17,0.1,0.02,,,,,2024,2024-05-14,-104.0,21.0,6.0,,,,,,,,,,,,,,,,,,,,,,18.8,14.0,14.0,414.0,7.0,28.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-2447 b,,NGTS-29,70.9975,-39.906666666666666,10.0,,,,,149.4,0.3,0.3,0.18,0.08,0.08,1.034,0.032,0.032,1.006,0.009,0.009,,2.1,1.0,1.0,5730.0,80.0,80.0,,,TOI-2447
NGTS-2 b,Confirmed,0.67,0.089,0.089,,,,1.536,0.062,0.062,4.5111204,1.8e-06,1.8e-06,0.0584,0.0011,0.0011,0.0,0.0,0.14,87.66,0.73,0.73,,2018,2018-11-28,,,,,,,,,,2457501.99114,0.0005,0.0005,,,,,,,0.317,0.089,0.089,,,,69.1,8.9,8.9,1638.0,29.0,29.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"WASP-179 b, TYC 7282-1298-1 b",,NGTS-2,215.12500001,-31.20194445,10.96,,,,,360.3,7.8,8.3,-0.06,0.09,0.09,1.64,0.22,0.19,1.702,0.044,0.047,F5V,2.17,0.37,0.37,6478.0,89.0,94.0,,,"WASP-179, TYC 7282-1298-1"
NGTS-30 b,Confirmed,0.96,0.056,0.056,,,,0.93,0.03,0.03,98.29838,0.0001,0.0001,0.408,0.02,0.02,0.29,0.01,0.01,89.5,0.03,0.03,,2024,2024-04-05,3.4,6.0,5.0,,,,,,,2459287.6,0.0014,0.0014,,,,,,,0.78,0.03,0.02,,,,46.1,1.8,1.8,390.0,160.0,160.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-4862 b,,NGTS-30,173.714875,-24.605486111111112,12.5,,,,,233.9,1.2,1.2,-0.03,0.08,0.08,0.94,0.06,0.06,0.913,0.03,0.03,,1.1,0.4,0.4,5455.0,80.0,80.0,,,TOI-4862
NGTS-31 b,Confirmed,1.12,0.12,0.12,,,,1.61,0.16,0.16,4.162734,4e-06,4e-06,0.064,0.008,0.008,0.0,,,85.6,0.1,0.1,,2021,2024-11-29,,,,,,,,,,2459039.1615,0.0004,0.0004,,,,,,,0.63,0.01,0.01,,,,146.63,6.0,8.26,1410.0,20.0,20.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-2721 b,,NGTS-31,80.42129166666666,-38.65680833333333,,,,,,,,,,,,,,,,,,,,,,,,,,,TOI-2721
NGTS-32 b,Confirmed,0.57,0.05,0.05,,,,1.42,0.03,0.03,3.31211,2e-05,2e-05,0.044,0.001,0.001,0.0,,,86.9,0.1,0.1,,2024,2024-11-29,,,,,,,,,,2459435.763,0.002,0.002,,,,,,,0.29,0.01,0.01,,,,75.17,0.9,15.0,1750.0,20.0,20.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,NGTS-32,223.85766666666666,-18.432305555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGTS-33 b,Confirmed,3.63,0.27,0.27,,,,1.64,0.07,0.07,2.827972,1e-06,1e-06,0.048,0.002,0.002,0.0,,,83.94,0.12,0.12,,2024,2024-11-15,,,,,,,,,,2459986.409,0.0003,0.0003,,,,,,,0.74,0.01,0.01,,,,383.0,25.0,25.0,1991.0,21.0,21.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,NGTS-33,107.83333333333333,-35.850516666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGTS-34 b,Confirmed,0.0601,0.0154,0.0154,,,,0.3256,0.0196,0.0196,43.12655,0.00017,0.00017,0.257,0.018,0.018,0.0,,,88.9,0.1,0.1,,2024,2025-12-09,,,,,,,,,,2459282.7925,0.0024,0.0024,,,,,,,0.8,0.02,0.02,,,,2.97,0.66,0.66,624.0,19.0,19.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TIC 147277741 b,,NGTS-34,162.49970833333333,-44.54785833333333,9.23,,8.23,7.99,7.92,120.34,0.2,0.2,0.228,0.085,0.084,1.266,0.081,0.063,1.367,0.061,0.061,F8IV-V,2.7,1.8,1.3,6134.0,50.0,55.0,,,"CD-43 6582, TIC 147277741"
NGTS-35 b,Confirmed,0.478,0.069,0.069,,,,0.972,0.058,0.058,25.241192,2e-05,2e-05,0.16,0.011,0.011,0.19,0.03,0.03,88.8,0.1,0.1,,2024,2025-12-09,38.0,16.0,16.0,,,,,,,2459334.02963,0.00056,0.00056,,,,,,,0.81,0.01,0.01,,,,40.8,4.2,4.2,450.0,10.0,10.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-6669 b,,NGTS-35,170.27633333333333,-26.06661666666667,13.0,,,,,183.35,0.53,0.53,0.085,0.11,0.071,0.789,0.048,0.035,0.753,0.033,0.051,K3.5V,1.5,1.5,11.3,4717.0,84.0,18.0,,,"TOI-6669, TIC 333736132"
NGTS-3 Ab,Confirmed,2.38,0.26,0.26,,,,1.48,0.37,0.37,1.6753728,3e-06,3e-06,0.023,0.0046,0.0065,0.0,,,89.56,0.48,0.31,,2018,2025-04-01,,,,,,,,,,2457620.1679,0.00095,0.00095,,,,,,,0.05,0.035,0.055,,,,404.0,35.0,35.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,NGTS-3 A,94.444801,-35.706394,14.6,,,,,1010.0,150.0,150.0,0.12,0.15,0.15,1.017,0.093,0.093,0.93,0.23,0.23,G9V,,,,5570.0,140.0,140.0,,,
NGTS-4 b,Confirmed,0.0648,0.009,0.009,,,,0.2837,0.0232,0.0232,1.3373508,8e-06,8e-06,0.019,0.005,0.005,0.0,,,82.5,5.8,5.8,,2018,2025-12-23,,,,,,,,,,2457607.9975,0.0034,0.0034,,,,,,,,,,,,,13.7,1.9,1.9,1650.0,400.0,400.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"TOI-1926 b, TOI-1926.01",,NGTS-4,89.600000008,-30.81194447,13.14,,,,,282.6,1.8,1.8,-0.28,0.1,0.1,0.75,0.02,0.02,0.84,0.01,0.01,G9/K0V,,,,5143.0,100.0,100.0,,,TOI-1926
NGTS-5 Ab,Confirmed,0.229,0.037,0.037,,,,1.136,0.023,0.023,3.3569866,2.6e-06,2.6e-06,0.0382,0.0013,0.0013,0.0,,,86.6,0.2,0.2,,2019,2024-07-31,,,,,,,,,,2457740.35262,0.00026,0.00026,,,,,,,,,,,,,41.0,6.4,5.9,952.0,24.0,24.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,NGTS-5 A,221.058333338,5.605277794,13.77,,12.11,11.7,11.61,309.5,2.6,2.6,0.12,0.1,0.1,0.661,0.061,0.068,0.739,0.012,0.014,K2V,,,,4987.0,41.0,41.0,,,2MASS J14441396+0536195
NGTS-6 Ab,Confirmed,1.33,0.028,0.024,,,,1.271,0.19,0.197,0.882058,1e-06,1e-06,0.016623018,1e-08,1e-08,0.0,,,80.23,0.38,0.36,,2019,2024-08-01,,,,,,,,,,2457982.3785,0.0003,0.0003,,,,,,,0.933,0.034,0.036,,,,322.0,7.0,7.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-448.01,,NGTS-6 A,75.795833337,-30.399444465,15.0,,,,,311.0,1.4,1.4,0.11,0.09,0.09,0.7876,0.016,0.016,0.656,0.028,0.028,K6V,9.6,0.2,0.2,4410.0,70.0,70.0,,,TOI-448
NGTS-8 b,Confirmed,0.93,0.04,0.04,,,,1.09,0.03,0.03,2.4997,1e-05,1e-05,0.035,0.001,0.001,0.01,0.01,0.014,86.9,0.5,0.5,,2019,2019-11-11,,,,,,,,,,2457500.1783,0.00072,0.00072,,,,,,,,,,,,,149.95,3.56,3.56,1345.0,19.0,19.0,,,,,,,Published in a refereed paper,Primary Transit,Spectrum,Primary Transit,,,NGTS-8,328.975000018,-14.068333336,13.68,,,,,434.273,5.639,5.639,0.24,0.09,0.09,0.89,0.05,0.05,0.98,0.02,0.02,K0V,12.48,3.68,3.23,5241.0,50.0,50.0,,,
NGTS-9 b,Confirmed,2.9,0.17,0.17,,,,1.07,0.06,0.06,4.43527,2e-05,2e-05,0.058,0.003,0.003,0.06,0.032,0.076,84.1,0.4,0.4,,2019,2023-12-18,,,,,,,,,,2457671.81086,0.00265,0.00265,,,,,,,,,,,,,293.44,15.08,15.08,1448.0,36.0,36.0,,,,,,,Published in a refereed paper,Primary Transit,Spectrum,Primary Transit,TOI-1935 b,,NGTS-9,141.920833347,-19.34722224,12.8,,,,,619.732,15.977,15.977,0.31,0.15,0.15,1.34,0.05,0.05,1.38,0.04,0.04,F8V,0.96,0.6,0.6,6330.0,130.0,130.0,,,
NN Ser (AB)c,Confirmed,6.91,0.54,0.54,,,,,,,5660.0,165.0,165.0,5.38,0.2,0.2,0.0,,,,,,0.01076,2010,2024-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Timing,,,,,NN Ser (AB),238.2333333,12.9130556,16.6,,,,,500.0,,,,,,0.646,,,,,,DAO1+M4V,,,,,,,IR Excess,,
NN Ser (AB)d,Confirmed,2.28,0.38,0.38,,,,,,,2830.0,130.0,130.0,3.39,0.1,0.1,0.2,0.02,0.02,,,,0.00678,2009,2024-08-12,74.0,4.0,4.0,2454515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Timing,,,,,NN Ser (AB),238.2333333,12.9130556,16.6,,,,,500.0,,,,,,0.646,,,,,,DAO1+M4V,,,,,,,IR Excess,,
NN Ser (AB)e,Confirmed,,0.47,0.47,9.43,0.47,0.47,,,,7371.0,90.0,90.0,6.43,0.35,0.35,0.2,0.03,0.03,,,,,2023,2024-08-12,-89.56,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Timing,,,,,NN Ser (AB),238.2333333,12.9130556,16.6,,,,,500.0,,,,,,0.646,,,,,,DAO1+M4V,,,,,,,IR Excess,,
NSVS 1425 (AB) b,Confirmed,,,,12.32,,,,,,2542.0,22.0,22.0,1.9,0.3,0.3,0.18,0.03,0.03,,,,,2012,2024-08-29,7.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Timing,Timing,,,,NSVS 1425 (AB),305.0,4.6325,13.2,,,,,,,,,,,0.528,0.07,0.07,,,,sdOB+dM,,,,42000.0,,,,,
NSVS 1425 (AB) c,Confirmed,8.0,0.8,0.8,7.97,,,,,,5723.0,30.0,30.0,2.9,0.6,0.6,0.85,0.05,0.05,,,,,2012,2024-08-29,273.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Timing,Timing,,,,NSVS 1425 (AB),305.0,4.6325,13.2,,,,,,,,,,,0.528,0.07,0.07,,,,sdOB+dM,,,,42000.0,,,,,
NSVS 7826147 (AB)b,Confirmed,,,,1.36,,,,,,3820.0,,,3.957,,,0.0,,,,,,,2016,2024-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Timing,Timing,,DD CrB (AB)b,,NSVS 7826147 (AB),233.456017209,37.9911376052,13.08,13.74,13.652,,13.88,518.549,12.898,12.898,,,,0.442,0.055,0.055,0.172,0.007,0.007,sdB+dM,,,,29200.0,500.0,500.0,,,"DD CrB, FBS 1531+381"
nu2 CMa b,Confirmed,,0.04,0.06,1.895,0.04,0.06,,,,736.9,1.0,14.8,1.761,0.01,0.024,0.055,0.03,0.03,,,,0.096203,2011,2024-05-28,116.4,71.0,5.0,2454093.0,34.0,34.0,,,,,,,,,,,,,,,,,,,35.1,0.9,1.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Spectrum,,"7 CMa b, HD 47205 b",,nu2 CMa,99.1708333,-19.2558333,3.96,,,,,19.75,0.09,0.09,0.21,0.1,0.1,1.52,0.3,0.3,2.3,0.1,0.1,K1 III,,,,4792.0,100.0,100.0,,,7 CMa
nu2 CMa c,Confirmed,,0.06,0.06,0.906,0.06,0.06,,,,988.9,52.0,1.5,2.143,0.08,0.003,0.046,0.04,0.05,,,,,2019,2024-05-28,226.6,40.0,7.7,,,,,,,,,,,,,,,,,,,,,,15.2,1.1,0.9,,,,,,,,,,Published in a refereed paper,Radial Velocity,Spectrum,,"7 CMa c, HD 47205 c",,nu2 CMa,99.1708333,-19.2558333,3.96,,,,,19.75,0.09,0.09,0.21,0.1,0.1,1.52,0.3,0.3,2.3,0.1,0.1,K1 III,,,,4792.0,100.0,100.0,,,7 CMa
nu2 Lup b,Confirmed,0.01472,0.0013,0.0013,0.0166,0.0025,0.0025,0.14658,0.00312,0.00312,11.577794,2.5e-05,2.5e-05,0.0963,0.0021,0.0021,0.079,0.053,0.068,88.53,0.11,0.11,0.006304,2011,2024-05-28,172.0,67.0,67.0,2458622.4,1.9,2.1,,,,2458944.37064,0.0007,0.0007,2458625.63,2.0,2.0,,,,0.505,0.29,0.29,,,,1.4,0.13,0.13,911.0,18.0,18.0,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Primary Transit,HD 136352 b,,nu2 Lup,230.45,-48.3175,5.65,,,,,14.8,0.08,0.08,,,,,,,,,,G4V,,,,,,,,,HD 136352
nu2 Lup c,Confirmed,0.0353,0.0019,0.0019,0.0358,0.0031,0.0031,0.25489,0.00517,0.00517,27.592076,4.9e-05,4.9e-05,0.1717,0.0037,0.0037,0.037,0.026,0.039,88.58,0.033,0.033,0.01125,2011,2024-05-28,142.0,92.0,86.0,,,,,,,2458954.40942,0.0005,0.0005,2458636.93,0.67,0.39,,,,0.869,0.006,0.006,,,,2.55,0.13,0.13,682.0,14.0,14.0,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Primary Transit,HD 136352 c,,nu2 Lup,230.45,-48.3175,5.65,,,,,14.8,0.08,0.08,,,,,,,,,,G4V,,,,,,,,,HD 136352
nu2 Lup d,Confirmed,0.02725,0.0028,0.0028,0.03,0.011,0.011,0.22366,0.0036,0.0036,107.1363,0.0024,0.0024,0.424,0.0092,0.0092,0.075,0.053,0.085,89.77,0.013,0.016,0.02777,2011,2024-05-28,185.0,87.0,79.0,2458510.0,25.0,25.0,,,,2459331.18761,,,,,,,,,0.353,0.05,0.043,,,,1.51,0.14,0.14,433.0,9.0,9.0,,,,,,,Submitted to a professional journal,Radial Velocity,Radial Velocity,Primary Transit,HD 136352 d,,nu2 Lup,230.45,-48.3175,5.65,,,,,14.8,0.08,0.08,,,,,,,,,,G4V,,,,,,,,,HD 136352
nu Oct b,Confirmed,2.13,0.09,0.09,,,,,,,409.3,7.0,7.0,1.25,0.02,0.02,0.118,0.06,0.05,110.9,7.0,7.0,0.056604,2009,2025-05-21,136.0,34.0,37.0,,,,,,,,,,,,,,,,,,,,,,40.4,2.6,2.6,,,,,,,,,,Published in a refereed paper,"Other, Radial Velocity",Radial Velocity,,,,nu Oct,325.3708333,-77.39,3.76,,2.01,1.54,1.46,22.1,0.1,0.1,0.18,0.04,0.04,1.61,,,5.81,0.12,0.12,K1III,2.75,0.25,0.25,4860.0,40.0,40.0,,,
NY Vir (AB)b,Confirmed,2.78,,,,,,,,,2987.745,,,3.39,,,,,,,,,,2011,2024-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Timing,,,NY Vir b,,NY Vir (AB),204.7,-2.0302778,13.3,,,,,,,,,,,0.6,,,,,,sdB+M6V,,,,33000.0,,,,,
NY Vir (AB)c,Confirmed,4.49,,,,,,,,,9861.75,,,7.54,,,,,,,,,,2011,2024-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Timing,,,NY Vir c,,NY Vir (AB),204.7,-2.0302778,13.3,,,,,,,,,,,0.6,,,,,,sdB+M6V,,,,33000.0,,,,,
OGLE-2003-BLG-235L b,Confirmed,2.34,0.53,0.53,,,,,,,,,,4.0,0.7,2.1,,,,,,,0.000981,2004,2023-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,MOA-2003-BLG-53 b,,OGLE-2003-BLG-235L,271.3166667,-28.895,,19.7,,,,5260.0,710.0,710.0,,,,0.56,0.06,0.06,,,,,,,,,,,,,MOA-2003-BLG-53
OGLE-2005-BLG-071L b,Confirmed,3.5,0.3,0.3,,,,,,,3600.0,0.0,0.0,3.6,0.2,0.2,,,,,,,0.001091,2005,2024-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2005-BLG-071L,267.5375,-34.6730556,,19.5,,,,3300.0,400.0,400.0,,,,0.46,0.04,0.04,,,,,,,,,,,,,OGLE-2005-BUL-071
OGLE-2005-BLG-169L b,Confirmed,0.0444,0.003,0.003,,,,,,,,,,4.0,0.6,2.2,,,,,,,0.001037,2005,2024-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2005-BLG-169L,271.5208333,-30.7325,,20.4,,,,4100.0,400.0,400.0,,,,0.69,0.02,0.02,,,,K5,,,,,,,,,
OGLE-2005-BLG-390L b,Confirmed,0.017,,,,,,,,,3500.0,,,2.1,,,,,,,,,0.000323,2005,2024-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2005-BLG-390L,268.5791667,-30.3772222,,15.7,,,,6500.0,,,,,,0.22,,,,,,M,,,,,,,,,OGLE-2005-BUL-390
OGLE-2006-109L b,Confirmed,0.727,0.06,0.06,,,,,,,1790.0,548.0,548.0,2.3,0.5,0.5,,,,64.0,7.0,7.0,0.001523,2008,2016-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2006-BLG-109L,268.1458333,-30.0877778,,,,17.17,,1510.0,120.0,120.0,,,,0.51,0.04,0.04,,,,,,,,,,,,,"OGLE-06-109L, OGLE-2006-BUL-109"
OGLE-2006-109L c,Confirmed,0.271,0.022,0.022,,,,,,,4931.0,1750.0,1750.0,4.5,1.0,1.0,0.15,0.1,0.1,64.0,8.0,8.0,0.00298,2008,2016-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2006-BLG-109L,268.1458333,-30.0877778,,,,17.17,,1510.0,120.0,120.0,,,,0.51,0.04,0.04,,,,,,,,,,,,,"OGLE-06-109L, OGLE-2006-BUL-109"
OGLE-2006-BLG-284 b,Confirmed,0.453,0.258,0.431,,,,,,,,,,2.2,0.8,0.8,,,,,,,,2020,2020-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2006-BLG-284,269.658333346,-29.136666672,,,,,,4000.0,1500.0,1500.0,,,,0.45,0.3,0.3,,,,,,,,,,,,,
OGLE-2007-BLG-349L (AB)b,Confirmed,0.25,0.041,0.041,,,,,,,,,,2.59,0.34,0.43,,,,,,,,2016,2024-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2007-BLG-349L (AB),271.350000008,-26.421944457,,,,,,2760.0,380.0,380.0,,,,0.71,0.12,0.12,,,,,,,,,,,,,
OGLE-2007-BLG-368L b,Confirmed,0.0694,,,,,,,,,,,,3.3,8.8,8.8,,,,,,,0.000559,2008,2009-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2007-BLG-368L,269.1083333,-32.2375,,,,,,5900.0,1400.0,1400.0,,,,0.64,0.26,0.26,,,,,,,,,,,,,
OGLE-2008-BLG-092L Ab,Confirmed,0.18,,,,,,,,,,,,15.0,,,,,,,,,,2014,2024-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,OGLE-2008-BLG-092L b,,OGLE-2008-BLG-092L A,266.872583343,-34.7265555778,,13.9,,,,7000.0,,,,,,0.71,,,,,,,,,,,,,,,OGLE-2008-BLG-092L
OGLE-2008-BLG-355L b,Confirmed,4.6,2.2,3.7,,,,,,,,,,1.7,0.3,0.3,,,,,,,,2014,2021-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2008-BLG-355L,269.786708336,-29.2405277552,,,,,,6800.0,1100.0,1100.0,,,,0.37,0.17,0.3,,,,,,,,,,,,,
OGLE-2011-BLG-0173L b,Confirmed,0.19,0.11,0.19,,,,,,,,,,10.0,,,,,,,,,,2018,2018-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2011-BLG-0173L,269.316666672,-28.683888903,,,,,,6200.0,1.7,1.3,,,,0.4,0.2,0.3,,,,,,,,,,,,,
OGLE-2011-BLG-0251L b,Confirmed,0.96,0.14,0.14,,,,,,,,,,3.86,0.64,0.64,,,,,,,,2012,2016-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2011-BLG-0251L,264.559083338,-27.1361388938,,,,,,4090.0,660.0,660.0,,,,0.47,0.07,0.07,,,,,,,,,,,,,
OGLE-2011-BLG-0265L b,Confirmed,0.88,0.18,0.27,,,,,,,,,,1.89,0.25,0.25,,,,,,,,2015,2015-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2011-BLG-0265L,269.450000016,-27.394444461,,,,,,4380.0,510.0,450.0,,,,0.211,0.068,0.045,,,,,,,,,,,,,
OGLE-2012-BLG-0026L b,Confirmed,0.11,0.002,0.002,,,,,,,,,,3.82,0.3,0.3,,,,,,,,2012,2013-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2012-BLG-0026L,263.5792,-27.1428,,,,,,4080.0,300.0,300.0,,,,0.82,0.13,0.13,,,,,,,,,,,,,
OGLE-2012-BLG-0026L c,Confirmed,0.68,0.1,0.1,,,,,,,,,,4.63,0.37,0.37,,,,,,,,2012,2013-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2012-BLG-0026L,263.5792,-27.1428,,,,,,4080.0,300.0,300.0,,,,0.82,0.13,0.13,,,,,,,,,,,,,
OGLE-2012-BLG-0406L b,Confirmed,2.73,0.43,0.43,,,,,,,,,,3.45,0.26,0.26,,,,,,,,2013,2013-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2012-BLG-0406L,268.325,-30.4711,,,,,,4970.0,290.0,290.0,,,,0.44,0.07,0.07,,,,,,,,,,,,,
OGLE-2012-BLG-0563L b,Confirmed,1.116,0.087,0.087,,,,,,,,,,1.5,0.16,0.16,,,,,,,,2015,2024-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2012-BLG-0563L,271.490500019,-27.7120000236,,,,,,5490.0,560.0,560.0,-0.66,0.07,0.07,0.801,0.033,0.033,,,,dK,,,,,,,,,
OGLE-2012-BLG-0724L b,Confirmed,0.47,0.26,0.54,,,,,,,,,,1.6,0.3,0.4,,,,,,,,2016,2016-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2012-BLG-0724L,268.966666684,-29.818611129,,,,,,6700.0,1200.0,1100.0,,,,0.29,0.16,0.33,,,,M,,,,,,,,,
OGLE-2012-BLG-0838 b,Confirmed,0.25,0.12,0.12,,,,,,,,,,4.2,1.0,1.4,,,,,,,,2019,2019-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2012-BLG-0838,273.004166667,-25.71166669,,,,,,6620.0,850.0,850.0,,,,0.54,0.25,0.25,,,,,,,,,,,,,
OGLE-2012-BLG-0950L b,Confirmed,0.11,0.028,0.053,,,,,,,,,,2.7,0.7,0.6,,,,,,,,2016,2023-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,MOA-2012- BLG-527 b,,OGLE-2012-BLG-0950L,272.019250002,-29.7315833596,,,,,,3000.0,1100.0,800.0,,,,0.56,0.16,0.12,,,,M,,,,5500.0,,,,,MOA-2012- BLG-527
OGLE-2013-BLG-0132L b,Confirmed,0.26,0.028,0.028,,,,,,,,,,3.14,0.28,0.28,,,,,,,,2017,2024-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2013-BLG-0132L,269.764625001,-28.4210277896,,,,,,3900.0,1300.0,1500.0,,,,0.54,0.23,0.3,,,,,,,,,,,,,MOA-2013-BLG-148 
